window_id,cpu,memory,disk,cpu_cores,mem_gb
6,0.0625,0.1592,3.471E-4,1,2.5472
6,0.0625,0.1592,3.471E-4,1,2.5472
6,0.0625,0.1592,3.471E-4,1,2.5472
6,0.0625,0.1592,3.471E-4,1,2.5472
6,0.0625,0.1592,3.471E-4,1,2.5472
6,0.0625,0.1592,3.471E-4,1,2.5472
6,0.0625,0.1592,3.471E-4,1,2.5472
6,0.0625,0.1592,3.471E-4,1,2.5472
6,0.0625,0.1592,3.471E-4,1,2.5472
6,0.0125,0.1672,3.901E-4,1,2.6752
6,0.0625,0.1909,3.862E-4,1,3.0544
6,0.01062,0.2068,1.907E-6,1,3.3088
6,0.09375,0.2388,7.715E-4,1,3.8208
6,0.09375,0.2388,7.715E-4,1,3.8208
6,0.09375,0.2388,7.715E-4,1,3.8208
6,0.09375,0.2388,7.715E-4,1,3.8208
6,0.0625,0.2544,0.007721,1,4.0704
6,0.0625,0.2544,0.007721,1,4.0704
6,0.0625,0.2544,0.007721,1,4.0704
6,0.3125,0.0318,1.907E-5,2,0.5088
6,0.3813,0.0318,1.907E-5,2,0.5088
6,0.3394,0.07642,3.862E-4,2,1.22272
6,0.3125,0.1592,3.538E-4,2,2.5472
6,0.375,0.175,1.907E-5,2,2.8
