window_id,cpu,memory,disk,cpu_cores,mem_gb
2,0.04779,0.1272,3.09E-4,1,2.0352
2,0.0625,0.1272,0.00193,1,2.0352
2,0.125,0.1272,3.815E-5,1,2.0352
2,0.01256,0.1335,6.39E-5,1,2.136
2,0.01256,0.1335,6.39E-5,1,2.136
2,0.01256,0.1335,6.39E-5,1,2.136
2,0.0125,0.1536,3.281E-4,1,2.4576
2,0.0125,0.1536,3.281E-4,1,2.4576
2,0.0625,0.1592,3.471E-4,1,2.5472
2,0.0625,0.1592,3.471E-4,1,2.5472
2,0.0625,0.1592,3.471E-4,1,2.5472
2,0.0625,0.1592,3.471E-4,1,2.5472
2,0.0625,0.1592,3.471E-4,1,2.5472
2,0.0625,0.1592,3.471E-4,1,2.5472
2,0.0625,0.1592,3.471E-4,1,2.5472
2,0.0625,0.1592,3.471E-4,1,2.5472
2,0.0625,0.1592,3.471E-4,1,2.5472
2,0.0625,0.1592,3.471E-4,1,2.5472
2,0.0625,0.1592,3.862E-4,1,2.5472
2,0.006248,0.1909,3.815E-5,1,3.0544
