window_id,cpu,memory,disk,cpu_cores,mem_gb
0,0.0625,0.1034,3.815E-5,1,1.6544
0,0.0625,0.1034,3.815E-5,1,1.6544
0,0.0625,0.1034,3.815E-5,1,1.6544
0,0.0625,0.1034,3.815E-5,1,1.6544
0,0.0625,0.1034,3.815E-5,1,1.6544
0,0.0625,0.1034,3.815E-5,1,1.6544
0,0.0625,0.1034,3.815E-5,1,1.6544
0,0.03625,0.1104,5.789E-4,1,1.7664
0,0.0625,0.1184,0.001158,1,1.8944
0,0.0625,0.1272,5.789E-4,1,2.0352
0,0.0625,0.1272,0.00193,1,2.0352
0,0.0625,0.1272,0.00193,1,2.0352
0,0.03125,0.1272,7.715E-4,1,2.0352
0,0.0625,0.1272,0.00193,1,2.0352
0,0.01256,0.1335,6.39E-5,1,2.136
0,0.01256,0.1335,6.39E-5,1,2.136
0,0.01256,0.1335,6.39E-5,1,2.136
0,0.0125,0.1536,3.281E-4,1,2.4576
0,0.0125,0.1536,3.281E-4,1,2.4576
0,0.0625,0.1592,0.001158,1,2.5472
0,0.0625,0.1592,3.471E-4,1,2.5472
0,0.0625,0.1592,3.471E-4,1,2.5472
0,0.0625,0.1592,3.471E-4,1,2.5472
0,0.0625,0.1592,3.471E-4,1,2.5472
0,0.0625,0.1909,0.001158,1,3.0544
0,0.2505,0.001554,3.815E-6,2,0.024864
0,0.3125,0.1272,0.001577,2,2.0352
