window_id,cpu,memory,disk,cpu_cores,mem_gb
5,0.006248,0.1343,3.328E-4,1,2.1488
5,0.006248,0.1392,3.443E-4,1,2.2272
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1592,3.471E-4,1,2.5472
5,0.0625,0.1909,3.815E-5,1,3.0544
5,0.0625,0.1909,3.815E-5,1,3.0544
5,0.0625,0.1909,3.815E-5,1,3.0544
5,0.0625,0.1909,3.815E-5,1,3.0544
5,0.2219,0.2163,5.064E-4,1,3.4608
5,0.125,0.3184,1.926E-4,1,5.0944
5,0.125,0.3184,1.926E-4,1,5.0944
5,0.375,0.08752,1.154E-4,2,1.40032
